Gene Symbol,Gene ID,Median (Tumor),Median (Normal),Log2(Fold Change),adjp
EHD2,ENSG00000024422.11,20.015,66.231,-1.678,2.02E-23
EHD3,ENSG00000013016.14,4.515,2.22,0.776,1.84E-11
EHD4,ENSG00000103966.9,18.84,7.72,1.186,1.17E-20
EHD4-AS1,ENSG00000259883.1,0,0.07,-0.098,4.97E-07
EHF,ENSG00000135373.12,25.985,0.07,4.656,5.28E-97
EHHADH,ENSG00000113790.10,4.21,1.45,1.089,4.66E-27
EHMT1,ENSG00000181090.17,16.425,39.879,-1.23,1.07E-24
EHMT1-IT1,ENSG00000281796.1,0.04,0.13,-0.12,2.00E-20
EHMT2,ENSG00000204371.11,76.707,51.699,0.56,1.63E-06
EHMT2-AS1,ENSG00000237080.2,0.195,0.27,-0.088,8.46E-01
EI24,ENSG00000149547.14,68.731,35.365,0.939,2.27E-19
EI24P2,ENSG00000236257.1,0.09,0.05,0.054,1.67E-05
EID1,ENSG00000255302.3,58.47,119.373,-1.017,2.32E-26
EID2,ENSG00000176396.9,7.535,5.979,0.29,1.62E-05
EID2B,ENSG00000176401.5,1.21,4.99,-1.439,5.66E-53
EID3,ENSG00000255150.1,1.165,3.155,-0.94,1.56E-30
EIF1,ENSG00000173812.10,429.51,974.656,-1.18,2.92E-43
EIF1AD,ENSG00000175376.8,16.825,16.61,0.018,4.35E-01
EIF1AX,ENSG00000173674.10,41.176,44.151,-0.098,7.68E-01
EIF1AXP1,ENSG00000236698.1,4.065,2.69,0.457,2.04E-02
EIF1AY,ENSG00000198692.9,0,0.04,-0.057,6.15E-46
EIF1B,ENSG00000114784.3,51.694,109.96,-1.074,4.26E-38
EIF1B-AS1,ENSG00000280739.2,0.84,0.93,-0.069,2.09E-01
EIF1P3,ENSG00000231684.3,0.09,0,0.124,1.12E-01
EIF1P4,ENSG00000262154.1,0.255,0,0.328,3.65E-13
EIF2A,ENSG00000144895.11,57.905,73.75,-0.344,4.91E-07
EIF2AK1,ENSG00000086232.12,76.402,27.924,1.42,3.30E-39
EIF2AK2,ENSG00000055332.16,15.065,8.14,0.814,7.74E-16
EIF2AK3,ENSG00000172071.11,8.39,10.3,-0.267,5.36E-03
EIF2AK4,ENSG00000128829.11,15.44,17.35,-0.159,1.56E-01
EIF2B1,ENSG00000111361.12,27.429,34.285,-0.312,6.19E-05
EIF2B2,ENSG00000119718.10,35.38,28.04,0.325,1.34E-03
EIF2B3,ENSG00000070785.16,13.25,18.296,-0.437,1.32E-11
EIF2B4,ENSG00000115211.15,23.76,46.525,-0.941,1.46E-34
EIF2B5,ENSG00000145191.11,25.115,67.199,-1.385,2.08E-46
EIF2B5-IT1,ENSG00000227509.1,0,0.1,-0.138,2.60E-36
EIF2D,ENSG00000143486.15,30.75,59.307,-0.926,3.33E-25
EIF2S1,ENSG00000134001.12,40.3,32.08,0.32,6.41E-02
EIF2S2,ENSG00000125977.6,53.895,29.2,0.862,1.72E-20
EIF2S2P2,ENSG00000229704.1,0.02,0,0.029,4.54E-08
EIF2S2P3,ENSG00000236493.2,0.15,0.115,0.045,8.63E-02
EIF2S2P4,ENSG00000128692.8,1.945,0.55,0.926,1.41E-29
EIF2S3,ENSG00000130741.10,72.909,120.86,-0.721,2.19E-12
EIF2S3L,ENSG00000180574.3,0.44,0.52,-0.078,1.00E+00
EIF3A,ENSG00000107581.12,32.675,47.244,-0.519,3.16E-07
EIF3B,ENSG00000106263.17,63.011,88.88,-0.49,1.33E-06
EIF3C,ENSG00000184110.14,222.043,308.568,-0.473,1.28E-04
EIF3CL,ENSG00000205609.12,38.15,49.485,-0.367,4.04E-06
EIF3D,ENSG00000100353.17,117.103,180.793,-0.622,1.48E-10
EIF3E,ENSG00000104408.9,308.547,410.474,-0.411,2.36E-06
EIF3EP1,ENSG00000234882.1,0.875,2.245,-0.791,1.50E-24
EIF3F,ENSG00000175390.12,200.866,344.58,-0.776,9.45E-22
EIF3FP1,ENSG00000275945.1,0,0.17,-0.227,2.59E-11
EIF3FP3,ENSG00000233426.3,7.47,11.06,-0.51,1.02E-04
EIF3G,ENSG00000130811.10,175.21,286.928,-0.708,2.55E-13
EIF3H,ENSG00000147677.10,371.275,325.101,0.191,5.96E-01
EIF3I,ENSG00000084623.11,146.514,135.828,0.108,9.13E-01
EIF3J,ENSG00000104131.12,33.47,24.88,0.413,3.29E-03
EIF3J-AS1,ENSG00000179523.4,6.875,13.26,-0.857,8.16E-18
EIF3K,ENSG00000178982.9,291.883,236.368,0.303,6.91E-02
EIF3KP1,ENSG00000175749.11,0.04,0.235,-0.248,5.49E-22
EIF3L,ENSG00000100129.17,232.969,659.92,-1.498,2.65E-50
EIF3LP2,ENSG00000233837.1,0.06,0.17,-0.142,1.51E-14
EIF3M,ENSG00000149100.12,330.945,250.531,0.4,4.93E-05
EIF4A1,ENSG00000161960.14,418.954,472.574,-0.173,3.43E-03
EIF4A1P10,ENSG00000229132.2,0.795,0.68,0.096,2.29E-02
EIF4A1P2,ENSG00000235001.3,0.18,0.14,0.05,2.22E-01
EIF4A1P4,ENSG00000257790.1,0.05,0,0.07,2.21E-06
EIF4A1P7,ENSG00000235472.1,0.01,0,0.014,1.41E-02
EIF4A2,ENSG00000156976.14,314.278,554.367,-0.817,3.06E-17
EIF4A2P1,ENSG00000267336.1,0.06,0.03,0.041,8.48E-03
EIF4A2P2,ENSG00000227382.1,0.05,0.115,-0.087,1.71E-07
EIF4A2P3,ENSG00000254589.1,0.01,0.04,-0.042,8.71E-05
EIF4A2P4,ENSG00000224781.1,0.04,0.07,-0.041,6.05E-04
EIF4A3,ENSG00000141543.9,70.399,71.144,-0.015,4.60E-01
EIF4B,ENSG00000063046.17,135.04,311.124,-1.198,2.75E-28
EIF4BP3,ENSG00000224546.2,0.52,0.955,-0.363,2.34E-19
EIF4BP6,ENSG00000197258.5,2.8,10.67,-1.619,1.25E-59
EIF4BP7,ENSG00000225031.1,0.42,2.53,-1.314,4.58E-102
EIF4E,ENSG00000151247.12,31.195,22.92,0.429,9.49E-02
EIF4E1B,ENSG00000175766.11,0.1,0,0.138,4.35E-06
EIF4E2,ENSG00000135930.13,68.279,34.23,0.976,5.88E-24
EIF4E3,ENSG00000163412.12,7.65,11.865,-0.573,1.81E-05
EIF4EBP1,ENSG00000187840.4,80.691,28.075,1.49,2.76E-37
EIF4EBP2,ENSG00000148730.6,26.089,29.685,-0.18,6.69E-02
EIF4EBP3,ENSG00000243056.1,33.015,24.697,0.405,1.37E-03
EIF4ENIF1,ENSG00000184708.17,10.375,21.32,-0.972,6.63E-26
EIF4EP1,ENSG00000233578.1,0.11,0.975,-0.831,9.60E-55
EIF4EP2,ENSG00000229944.3,3.68,3.105,0.189,4.40E-01
EIF4G1,ENSG00000114867.19,131.981,115.599,0.19,3.40E-01
EIF4G2,ENSG00000110321.15,270.596,213.027,0.344,3.71E-02
EIF4G3,ENSG00000075151.19,12.54,15.97,-0.326,6.97E-04
EIF4H,ENSG00000106682.14,121.532,181.722,-0.576,2.57E-12
EIF4HP1,ENSG00000233830.2,1.585,1.785,-0.108,1.83E-01
EIF4HP2,ENSG00000237977.1,0.57,1.345,-0.579,4.15E-16
EIF5,ENSG00000100664.10,84.1,74.4,0.175,1.18E-01
EIF5A,ENSG00000132507.17,336.975,169.853,0.984,6.37E-30
EIF5A2,ENSG00000163577.7,2.02,2.63,-0.265,1.75E-01
EIF5AL1,ENSG00000253626.3,0.57,0.24,0.34,1.11E-21
EIF5AP2,ENSG00000267679.1,0.01,0,0.014,7.54E-01
EIF5AP3,ENSG00000267346.1,0.08,0,0.111,4.56E-05
EIF5AP4,ENSG00000234743.1,0.1,0.06,0.054,5.48E-01
EIF5B,ENSG00000158417.10,38.474,27.88,0.451,1.06E-03
EIF5P1,ENSG00000215319.2,0.02,0,0.029,1.38E-01
EIF6,ENSG00000242372.6,175.496,67.674,1.362,1.34E-46
ELAC1,ENSG00000141642.8,4.45,4.91,-0.117,1.00E+00
ELAC2,ENSG00000006744.18,21.89,30.019,-0.438,2.38E-05
ELANE,ENSG00000197561.6,0.02,0.16,-0.186,5.09E-23
ELAVL1,ENSG00000066044.13,45.9,34.239,0.412,4.49E-07
ELAVL2,ENSG00000107105.14,0.05,0.44,-0.456,4.48E-21
ELAVL4,ENSG00000162374.16,0.08,0,0.111,9.04E-08
ELF1,ENSG00000120690.13,16.115,19.38,-0.252,3.08E-03
ELF2,ENSG00000109381.19,12.33,21.29,-0.742,7.25E-18
ELF3,ENSG00000163435.15,237.617,0.785,7.063,3.96E-162
ELF4,ENSG00000102034.16,21.38,11.424,0.849,2.61E-11
ELF5,ENSG00000135374.9,0.02,0,0.029,1.66E-02
ELFN1,ENSG00000225968.7,0.665,0.225,0.443,5.64E-10
ELFN1-AS1,ENSG00000236081.1,6.6,0.18,2.687,3.32E-26
ELFN2,ENSG00000243902.6,0.01,0,0.014,7.21E-02
ELK1,ENSG00000126767.17,31.455,43.466,-0.454,1.47E-05
ELK3,ENSG00000111145.7,8.324,7.13,0.198,1.45E-01
ELK4,ENSG00000158711.13,4.585,6.995,-0.518,2.81E-08
ELL,ENSG00000105656.12,9.7,10.81,-0.142,5.28E-04
ELL2,ENSG00000118985.14,1.99,15.346,-2.451,5.29E-68
ELL2P1,ENSG00000227295.2,0.02,0.03,-0.014,5.46E-01
ELL3,ENSG00000128886.11,3.245,4.785,-0.446,3.36E-02
ELMO1,ENSG00000155849.15,7.865,13.23,-0.683,2.50E-09
ELMO2,ENSG00000062598.17,23.67,22.079,0.096,7.05E-01
ELMO3,ENSG00000102890.14,11.605,1.625,2.264,1.44E-64
ELMOD1,ENSG00000110675.12,0.03,0.07,-0.055,5.97E-01
ELMOD2,ENSG00000179387.9,5.815,7.92,-0.388,4.60E-07
ELMOD3,ENSG00000115459.17,8.93,22.285,-1.23,5.01E-44
ELMSAN1,ENSG00000156030.12,10.065,24.819,-1.222,2.19E-39
ELN,ENSG00000049540.16,9.355,44.98,-2.151,3.36E-24
ELOF1,ENSG00000130165.10,63.63,57.95,0.133,5.18E-02
ELOVL1,ENSG00000066322.12,81.962,33.514,1.265,6.28E-32
ELOVL2,ENSG00000197977.3,0.27,0.24,0.034,8.94E-03
ELOVL3,ENSG00000119915.4,1.02,0.115,0.857,2.67E-16
ELOVL4,ENSG00000118402.5,0.44,1.205,-0.615,8.47E-09
ELOVL5,ENSG00000012660.13,23.27,27.68,-0.241,1.83E-03
ELOVL6,ENSG00000170522.9,13.105,1.71,2.38,9.42E-63
ELOVL7,ENSG00000164181.13,2.535,0.2,1.559,1.09E-40
ELP2,ENSG00000134759.13,26.79,82.925,-1.595,2.08E-48
ELP3,ENSG00000134014.16,12.315,14.45,-0.215,4.09E-01
ELP4,ENSG00000109911.17,8.935,6.329,0.439,3.69E-11
ELP5,ENSG00000170291.14,31.595,31.925,-0.015,6.22E-01
ELP6,ENSG00000163832.15,14.81,27.165,-0.833,1.89E-22
EMB,ENSG00000170571.11,4.29,0.965,1.429,1.65E-19
EMBP1,ENSG00000231752.5,0.635,0.05,0.639,3.45E-21
EMC1,ENSG00000127463.13,21.7,21.694,0,7.01E-01
EMC10,ENSG00000161671.16,98.39,90.105,0.126,3.77E-02
EMC2,ENSG00000104412.7,23.5,31.074,-0.389,3.12E-04
EMC3,ENSG00000125037.12,52.305,27.14,0.922,1.53E-20
EMC3-AS1,ENSG00000180385.8,2.335,2.805,-0.19,1.16E-01
EMC4,ENSG00000128463.12,97.035,80.47,0.267,1.49E-03
EMC6,ENSG00000127774.6,48.559,24.06,0.984,6.12E-32
EMC7,ENSG00000134153.9,42.33,43.075,-0.025,1.00E+00
EMC8,ENSG00000131148.8,24.715,13.695,0.807,1.63E-19
EMC9,ENSG00000100908.13,19.14,24.199,-0.323,2.01E-03
EMCN,ENSG00000164035.9,1.605,4.94,-1.189,8.63E-38
EMD,ENSG00000102119.10,73.345,164.848,-1.158,1.18E-37
EME1,ENSG00000154920.14,3.56,1.54,0.844,2.65E-17
EME2,ENSG00000197774.12,2.245,11.68,-1.966,1.23E-66
EMG1,ENSG00000126749.14,26.14,15.924,0.681,3.42E-12
EMID1,ENSG00000186998.15,19.961,7.395,1.32,5.92E-12
EMILIN1,ENSG00000138080.13,15.339,167.793,-3.369,1.56E-59
EMILIN2,ENSG00000132205.10,9.88,21.735,-1.063,5.20E-17
EMILIN3,ENSG00000183798.4,0.22,6.555,-2.63,3.01E-82
EML1,ENSG00000066629.16,4.16,3.555,0.18,3.52E-01
EML2,ENSG00000125746.14,12.945,14.665,-0.168,5.37E-01
EML2-AS1,ENSG00000267757.4,0.35,0.265,0.094,2.32E-02
EML3,ENSG00000149499.11,25.23,91.61,-1.82,3.58E-57
EML4,ENSG00000143924.18,16.335,14.795,0.134,6.92E-02
EML5,ENSG00000165521.15,1.425,13.965,-2.626,6.71E-127
EML6,ENSG00000214595.11,0.52,0.43,0.088,2.59E-02
EMP1,ENSG00000134531.9,37.964,13.99,1.378,2.89E-13
EMP2,ENSG00000213853.9,41.965,46.85,-0.155,3.80E-01
EMP3,ENSG00000142227.10,32.439,115.615,-1.802,2.44E-43
EMX1,ENSG00000135638.13,0.07,0.05,0.027,5.13E-02
EMX2,ENSG00000170370.11,56.359,12.43,2.095,3.76E-18
EMX2OS,ENSG00000229847.8,18.204,9.904,0.817,4.78E-04
EN1,ENSG00000163064.6,0.03,0,0.043,2.92E-03
EN2,ENSG00000164778.4,0.03,0.485,-0.528,7.53E-19
ENAH,ENSG00000154380.16,30.929,25.5,0.269,5.64E-01
ENAM,ENSG00000132464.11,0,0.01,-0.014,8.78E-01
ENC1,ENSG00000171617.13,8.755,12.372,-0.455,2.29E-01
ENDOD1,ENSG00000149218.4,9.49,11.47,-0.249,3.12E-01
ENDOG,ENSG00000167136.6,14.31,8.169,0.74,1.18E-21
ENDOU,ENSG00000111405.8,0.27,1.92,-1.201,8.43E-33
ENDOV,ENSG00000173818.16,9.85,19.825,-0.941,6.85E-19
ENG,ENSG00000106991.13,33.675,241.754,-2.808,1.02E-86
ENGASE,ENSG00000167280.16,4.95,50.864,-3.124,5.35E-104
ENHO,ENSG00000168913.6,3.325,0.42,1.607,2.15E-23
ENKD1,ENSG00000124074.11,8.56,33.294,-1.843,9.69E-62
ENKUR,ENSG00000151023.16,0.84,0.235,0.575,3.31E-10
ENO1,ENSG00000074800.13,834.315,292.328,1.51,1.08E-31
ENO1-AS1,ENSG00000230679.1,0.635,0.39,0.234,1.34E-06
ENO1-IT1,ENSG00000236269.1,0.06,0.08,-0.027,5.32E-04
ENO1P1,ENSG00000244457.2,0.26,0.095,0.203,1.02E-05
ENO1P3,ENSG00000243986.2,0.04,0,0.057,2.64E-06
ENO2,ENSG00000111674.8,18.915,22.878,-0.262,1.20E-02
ENO3,ENSG00000108515.17,5.45,13.61,-1.18,3.62E-24
ENO4,ENSG00000188316.13,0.39,0.44,-0.051,4.62E-01
ENOPH1,ENSG00000145293.14,18.735,15.455,0.262,5.36E-03
ENOSF1,ENSG00000132199.18,15.57,76.145,-2.219,7.56E-61
ENOX1,ENSG00000120658.12,0.46,7.41,-2.526,1.03E-120
ENOX1-AS1,ENSG00000233821.1,0.01,0.02,-0.014,1.15E-06
ENOX2,ENSG00000165675.16,5.18,6.58,-0.295,2.88E-04
ENPEP,ENSG00000138792.9,1.53,1.525,0.003,6.52E-02
ENPP1,ENSG00000197594.11,1.14,9.45,-2.288,3.70E-57
ENPP2,ENSG00000136960.12,5.335,11.25,-0.951,3.81E-09
ENPP3,ENSG00000154269.14,0.18,0.565,-0.407,1.58E-02
ENPP4,ENSG00000001561.6,4.985,1.605,1.2,9.37E-28
ENPP5,ENSG00000112796.9,10.195,4.34,1.068,3.78E-17
ENPP6,ENSG00000164303.10,0.08,5.454,-2.579,7.16E-111
ENPP7,ENSG00000182156.9,0.01,0,0.014,3.73E-04
ENPP7P1,ENSG00000249188.1,0.03,0,0.043,2.08E-01
ENPP7P10,ENSG00000249767.1,0.03,0.79,-0.797,7.24E-96
ENPP7P11,ENSG00000250942.1,0.12,0.415,-0.337,3.96E-10
ENPP7P12,ENSG00000254527.1,0.08,0.865,-0.788,1.21E-63
ENPP7P14,ENSG00000273963.1,0,0.03,-0.043,9.46E-20
ENPP7P2,ENSG00000239959.1,0.05,0.98,-0.915,1.95E-103
ENPP7P4,ENSG00000241278.1,0.09,0.475,-0.436,5.71E-36
ENPP7P5,ENSG00000256589.1,0.01,0.06,-0.07,7.42E-08
ENPP7P8,ENSG00000255319.5,0.01,0.03,-0.028,5.02E-01
ENPP7P9,ENSG00000250476.1,0,0.195,-0.257,2.89E-28
ENSA,ENSG00000143420.17,101.166,93.076,0.119,2.53E-01
ENSAP2,ENSG00000259032.2,2.74,2.19,0.23,8.11E-02
TSPAN6,ENSG00000000003.14,34.55,62.541,-0.838,4.51E-11
TNMD,ENSG00000000005.5,0.07,1.07,-0.952,2.25E-26
SCYL3,ENSG00000000457.13,4.35,7.1,-0.598,2.11E-11
FGR,ENSG00000000938.12,2.205,2.845,-0.263,2.27E-01
FUCA2,ENSG00000001036.13,24.524,29.749,-0.269,3.28E-03
GCLC,ENSG00000001084.10,7.615,11.774,-0.568,2.82E-10
NFYA,ENSG00000001167.14,10.135,13.405,-0.371,4.41E-04
STPG1,ENSG00000001460.17,5.075,4.94,0.032,2.76E-01
NIPAL3,ENSG00000001461.16,9.725,4.285,1.021,2.27E-21
LAS1L,ENSG00000001497.16,17.555,37.83,-1.065,1.84E-37
SEMA3F,ENSG00000001617.11,34.515,2.145,3.497,1.53E-68
KRIT1,ENSG00000001631.14,13.195,26.22,-0.939,7.33E-24
RAD52,ENSG00000002016.16,6.395,20.002,-1.506,2.97E-42
MYH16,ENSG00000002079.12,0.06,0.01,0.07,2.21E-01
LAP3,ENSG00000002549.12,58.675,24.775,1.211,6.73E-21
HS3ST1,ENSG00000002587.9,2.255,25.38,-3.019,3.21E-84
WNT16,ENSG00000002745.12,0.03,0.05,-0.028,1.00E+00
HECW1,ENSG00000002746.14,0.5,0.395,0.105,2.98E-02
MAD1L1,ENSG00000002822.15,18.76,10.53,0.777,2.57E-20
LASP1,ENSG00000002834.17,57.996,41.501,0.473,2.30E-03
SNX11,ENSG00000002919.14,8.835,9.26,-0.061,4.16E-01
TMEM176A,ENSG00000002933.7,35.07,117.82,-1.72,3.39E-20
M6PR,ENSG00000003056.7,70.141,63.149,0.149,3.36E-01
KLHL13,ENSG00000003096.13,0.53,4.18,-1.759,5.50E-41
ICA1,ENSG00000003147.17,12.165,3.025,1.71,1.10E-38
TFPI,ENSG00000003436.14,1.5,16.879,-2.838,2.21E-94
NDUFAF7,ENSG00000003509.15,8.465,12.11,-0.47,2.44E-10
RBM5,ENSG00000003756.16,30.58,264.981,-3.074,7.38E-90
MTMR7,ENSG00000003987.13,0.52,2.335,-1.134,1.58E-41
SLC7A2,ENSG00000003989.16,2.405,61.697,-4.203,4.94E-74
SARM1,ENSG00000004139.13,6.675,8.52,-0.311,1.87E-04
POLDIP2,ENSG00000004142.11,42.329,39.959,0.081,6.03E-01
PLXND1,ENSG00000004399.12,33.97,39.678,-0.218,6.22E-03
FKBP4,ENSG00000004478.7,71.575,40.109,0.82,6.52E-11
KDM1A,ENSG00000004487.15,42.095,53.66,-0.343,1.13E-03
RBM6,ENSG00000004534.14,18.825,151.087,-2.94,3.72E-101
RECQL,ENSG00000004700.15,8.875,9.325,-0.064,3.81E-01
HSPB6,ENSG00000004776.11,20.675,461.183,-4.414,1.41E-75
NDUFAB1,ENSG00000004779.9,105.763,53.785,0.963,2.43E-26
PDK4,ENSG00000004799.7,4.54,184.752,-5.067,5.93E-141
SLC22A16,ENSG00000004809.13,0.15,0.08,0.091,1.65E-02
ZMYND10,ENSG00000004838.13,5.435,0.99,1.693,4.00E-18
SLC25A13,ENSG00000004864.13,12.65,11.81,0.092,2.23E-01
ST7,ENSG00000004866.18,19.76,15.355,0.344,1.40E-05
SLC4A1,ENSG00000004939.13,0.025,0.03,-0.007,1.61E-03
HCCS,ENSG00000004961.14,14.54,7.89,0.806,3.49E-18
PRSS22,ENSG00000005001.9,9.72,0.08,3.311,2.25E-60
UPF1,ENSG00000005007.12,28.719,33.015,-0.195,3.10E-02
SKAP2,ENSG00000005020.12,4.505,8.47,-0.783,2.70E-09
SLC25A5,ENSG00000005022.5,265.956,104.69,1.337,3.56E-30
HOXA11,ENSG00000005073.5,0.05,0.07,-0.027,1.47E-02
POLR2J,ENSG00000005075.15,109.428,59.821,0.86,4.01E-24
MEOX1,ENSG00000005102.12,3.13,0.13,1.87,7.65E-19
THSD7A,ENSG00000005108.15,0.26,1.02,-0.681,1.54E-09
LIG3,ENSG00000005156.11,9.43,16.415,-0.74,2.05E-11
RPAP3,ENSG00000005175.9,13.795,17.41,-0.315,5.73E-05
SPPL2B,ENSG00000005206.16,20.295,57.825,-1.466,8.31E-36
FAM214B,ENSG00000005238.19,5.475,7.795,-0.442,2.68E-10
PRKAR2B,ENSG00000005249.12,4.05,26.929,-2.467,3.69E-62
MSL3,ENSG00000005302.17,17.2,21.16,-0.284,2.58E-04
MPO,ENSG00000005381.7,0.1,0.07,0.04,7.07E-01
PON1,ENSG00000005421.8,0.405,1.635,-0.907,7.49E-03
GCFC2,ENSG00000005436.13,12.43,18.955,-0.571,4.57E-13
WDR54,ENSG00000005448.16,27.16,20.17,0.412,6.67E-03
KMT2E,ENSG00000005483.19,18.635,30.525,-0.683,1.23E-10
RHBDD2,ENSG00000005486.16,114.487,59.74,0.927,1.59E-17
SOX8,ENSG00000005513.9,0.05,0.235,-0.234,1.17E-18
IBTK,ENSG00000005700.14,7.665,16.115,-0.982,1.80E-35
ZNF195,ENSG00000005801.16,10.625,7.495,0.453,1.37E-08
MYCBP2,ENSG00000005810.17,12.405,46.85,-1.836,1.06E-69
FBXL3,ENSG00000005812.10,17.485,26.685,-0.583,2.88E-08
ITGAL,ENSG00000005844.17,2.83,0.93,0.989,4.24E-10
PDK2,ENSG00000005882.11,43.025,55.075,-0.349,8.69E-03
ITGA3,ENSG00000005884.17,67.714,23.56,1.484,8.63E-23
ZFX,ENSG00000005889.15,6.88,14.12,-0.94,6.16E-25
LAMP2,ENSG00000005893.15,66.509,45.146,0.549,1.51E-07
ITGA2B,ENSG00000005961.17,3.3,3.855,-0.175,1.68E-01
GDE1,ENSG00000006007.11,35.115,17.143,0.993,1.00E-22
OSBPL7,ENSG00000006025.11,4.735,16.5,-1.61,8.18E-47
TMEM98,ENSG00000006042.11,43.774,153.659,-1.788,4.87E-32
YBX2,ENSG00000006047.12,6.165,0.5,2.256,6.42E-39
MAP3K14,ENSG00000006062.13,3.64,9.81,-1.22,8.06E-46
TMEM132A,ENSG00000006118.14,32.175,15.109,1.042,7.90E-09
TAC1,ENSG00000006128.11,0.03,0.11,-0.108,1.22E-01
ZNF263,ENSG00000006194.9,12.99,31.39,-1.211,1.33E-31
SPATA20,ENSG00000006282.19,22.39,81.704,-1.822,6.21E-53
TNFRSF12A,ENSG00000006327.13,79.539,3.7,4.099,3.01E-98
MAP3K9,ENSG00000006432.15,1.435,0.655,0.557,1.87E-12
RALA,ENSG00000006451.7,25.165,14.07,0.796,4.70E-22
KDM7A,ENSG00000006459.10,2.29,3.755,-0.531,1.55E-08
ETV1,ENSG00000006468.13,2.05,0.77,0.785,6.42E-12
TTC22,ENSG00000006555.10,8.03,0.43,2.659,6.94E-75
PHTF2,ENSG00000006576.16,6.67,6.92,-0.046,1.00E+00
FARP2,ENSG00000006607.13,10.12,16.415,-0.647,3.20E-12
USH1C,ENSG00000006611.15,0.22,0.11,0.136,1.55E-02
GGCT,ENSG00000006625.17,46.425,22.91,0.988,1.94E-24
TBXA2R,ENSG00000006638.11,0.77,1.35,-0.409,9.38E-10
IFRD1,ENSG00000006652.13,16.3,40.583,-1.265,3.04E-37
LGALS14,ENSG00000006659.12,0.14,0,0.189,4.83E-07
GTF2IRD1,ENSG00000006704.10,24.419,13.68,0.792,2.76E-17
PAF1,ENSG00000006712.14,28.724,52.536,-0.849,1.57E-15
VPS41,ENSG00000006715.15,11.485,27.235,-1.177,4.94E-27
SCIN,ENSG00000006747.14,1.395,0.495,0.68,6.16E-13
PNPLA4,ENSG00000006757.11,23.01,15.48,0.543,6.34E-07
UPP2,ENSG00000007001.12,0.05,0.225,-0.222,3.02E-19
PRSS21,ENSG00000007038.10,38.145,0.19,5.04,2.68E-57
MARK4,ENSG00000007047.14,17.005,21.92,-0.348,1.37E-04
PROM1,ENSG00000007062.11,2.07,0.125,1.448,5.86E-16
PAFAH1B1,ENSG00000007168.12,25.245,52.623,-1.031,2.40E-25
NOS2,ENSG00000007171.16,0.07,0.425,-0.413,1.51E-28
KIAA0100,ENSG00000007202.14,23.345,38.914,-0.713,3.00E-12
SLC13A2,ENSG00000007216.14,0.04,0,0.057,3.16E-04
GAS7,ENSG00000007237.18,3.55,7.49,-0.9,1.86E-11
TRAPPC6A,ENSG00000007255.10,32.459,25.108,0.358,2.31E-04
MATK,ENSG00000007264.13,1.09,0.34,0.641,5.16E-11
SCN4A,ENSG00000007314.11,0.05,0.335,-0.346,1.48E-14
ST7L,ENSG00000007341.18,12.915,17.445,-0.407,2.96E-05
TKTL1,ENSG00000007350.16,0.12,0.09,0.039,1.03E-04
PAX6,ENSG00000007372.20,0.36,0.34,0.021,1.70E-04
RPUSD1,ENSG00000007376.7,26.14,9.465,1.375,1.77E-46
RHBDF1,ENSG00000007384.15,11.125,76.489,-2.676,1.37E-85
LUC7L,ENSG00000007392.16,19.295,116.99,-2.539,3.03E-88
TSR3,ENSG00000007520.3,44.459,34.374,0.362,4.41E-05
PIGQ,ENSG00000007541.14,25.315,34.583,-0.435,2.92E-06
TEAD3,ENSG00000007866.18,24.38,32.791,-0.413,1.22E-05
SELE,ENSG00000007908.15,0.09,0.73,-0.666,1.13E-37
FMO3,ENSG00000007933.12,0.28,0.165,0.136,7.17E-02
MYLIP,ENSG00000007944.14,18.135,20.69,-0.181,9.44E-01
NOX1,ENSG00000007952.17,0.05,0.04,0.014,1.59E-02
PSMB1,ENSG00000008018.8,131.124,144.822,-0.142,2.41E-01
SYN1,ENSG00000008056.12,1.505,1.59,-0.048,2.67E-01
JARID2,ENSG00000008083.13,4.24,5.04,-0.205,2.21E-02
NADK,ENSG00000008130.15,31.899,60.61,-0.905,2.56E-18
TFAP2B,ENSG00000008196.12,0,0.005,-0.007,1.00E+00
SYPL1,ENSG00000008282.7,61.834,56.166,0.136,1.52E-02
SPAG9,ENSG00000008294.20,6.59,47.172,-2.666,3.99E-98
PLEKHG6,ENSG00000008323.15,5.385,0.165,2.454,6.80E-53
SS18L2,ENSG00000008324.10,28.135,17.91,0.624,3.71E-16
MPND,ENSG00000008382.15,10.8,13.165,-0.263,7.40E-02
MGST1,ENSG00000008394.12,59.67,4.38,3.495,1.17E-39
PGLYRP1,ENSG00000008438.4,0.04,0.09,-0.068,4.13E-02
NFIX,ENSG00000008441.16,68.707,46.226,0.562,1.05E-02
ST3GAL1,ENSG00000008513.14,13.71,11.3,0.258,6.48E-02
MMP25,ENSG00000008516.16,0.78,0.805,-0.02,5.79E-01
IL32,ENSG00000008517.16,119.576,17.548,2.701,1.92E-40
PKD1,ENSG00000008710.17,22.696,129.817,-2.465,5.86E-66
MAPK8IP2,ENSG00000008735.13,1.47,8,-1.865,1.77E-24
MED24,ENSG00000008838.17,29.834,80.512,-1.402,6.78E-37
RHOBTB2,ENSG00000008853.16,6.045,16.16,-1.284,4.05E-41
HEATR5B,ENSG00000008869.11,4.11,8.155,-0.841,1.23E-20
SEC62,ENSG00000008952.16,88.095,40.575,1.1,8.59E-22
RPS20,ENSG00000008988.9,3041.779,3383.497,-0.154,9.39E-02
